year,state_full,income,state
2005,Oklahoma,37645,OK
2004,Oklahoma,39614,OK
2003,Oklahoma,35902,OK
2002,Oklahoma,36458,OK
2001,Oklahoma,35609,OK
2000,Oklahoma,32432,OK
1999,Oklahoma,32683,OK
1998,Oklahoma,33727,OK
1997,Oklahoma,31351,OK
1996,Oklahoma,27437,OK
1995,Oklahoma,26311,OK
1994,Oklahoma,26991,OK
1993,Oklahoma,26260,OK
1992,Oklahoma,25284,OK
1991,Oklahoma,25462,OK
1990,Oklahoma,24384,OK
1989,Oklahoma,23667,OK
1988,Oklahoma,23667,OK
1987,Oklahoma,21691,OK
1986,Oklahoma,20948,OK
1985,Oklahoma,21205,OK
1984,Oklahoma,21148,OK
2015,Oregon,60834,OR
2014,Oregon,58875,OR
2013,Oregon,48999,OR
2012,Oregon,51775,OR
2011,Oregon,51526,OR
2010,Oregon,50602,OR
2009,Oregon,49098,OR
2008,Oregon,51727,OR
2007,Oregon,50236,OR
2006,Oregon,47091,OR
2005,Oregon,44159,OR
2004,Oregon,40994,OR
2003,Oregon,41638,OR
2002,Oregon,41802,OR
2001,Oregon,41273,OR
2000,Oregon,42499,OR
1999,Oregon,40619,OR
1998,Oregon,39067,OR
1997,Oregon,37247,OR
1996,Oregon,35492,OR
1995,Oregon,36374,OR
1994,Oregon,31456,OR
1993,Oregon,33138,OR
1992,Oregon,31927,OR
1991,Oregon,30190,OR
1990,Oregon,29281,OR
1989,Oregon,28529,OR
1988,Oregon,27748,OR
1987,Oregon,25038,OR
1986,Oregon,24773,OR
1985,Oregon,21894,OR
1984,Oregon,21399,OR
2015,Pennsylvania,60389,PA
2014,Pennsylvania,55173,PA
2013,Pennsylvania,55156,PA
2012,Pennsylvania,51904,PA
2011,Pennsylvania,49910,PA
2010,Pennsylvania,48314,PA
2009,Pennsylvania,48172,PA
2008,Pennsylvania,51402,PA
2007,Pennsylvania,48437,PA
2006,Pennsylvania,48477,PA
2005,Pennsylvania,46300,PA
2004,Pennsylvania,44106,PA
2003,Pennsylvania,42933,PA
2002,Pennsylvania,42498,PA
2001,Pennsylvania,43499,PA
2000,Pennsylvania,42176,PA
1999,Pennsylvania,37758,PA
1998,Pennsylvania,39015,PA
1997,Pennsylvania,37517,PA
1996,Pennsylvania,34899,PA
1995,Pennsylvania,34524,PA
1994,Pennsylvania,32066,PA
1993,Pennsylvania,30995,PA
1992,Pennsylvania,29882,PA
1991,Pennsylvania,30367,PA
1990,Pennsylvania,29005,PA
1989,Pennsylvania,28690,PA
1988,Pennsylvania,26742,PA
1987,Pennsylvania,25424,PA
1986,Pennsylvania,23807,PA
1985,Pennsylvania,22877,PA
1984,Pennsylvania,20346,PA
2015,Rhode.Island,55701,RI
2014,Rhode.Island,58633,RI
2013,Rhode.Island,56323,RI
2012,Rhode.Island,56065,RI
2011,Rhode.Island,49033,RI
2010,Rhode.Island,51623,RI
2009,Rhode.Island,51634,RI
2008,Rhode.Island,53241,RI
2007,Rhode.Island,54210,RI
2006,Rhode.Island,53736,RI
2005,Rhode.Island,49484,RI
2004,Rhode.Island,47935,RI
2003,Rhode.Island,44711,RI
2002,Rhode.Island,42417,RI
2001,Rhode.Island,45723,RI
2000,Rhode.Island,42197,RI
1999,Rhode.Island,42719,RI
1998,Rhode.Island,40686,RI
1997,Rhode.Island,34797,RI
1996,Rhode.Island,36986,RI
1995,Rhode.Island,35359,RI
1994,Rhode.Island,31928,RI
1993,Rhode.Island,33509,RI
1992,Rhode.Island,30432,RI
1991,Rhode.Island,30836,RI
1990,Rhode.Island,31968,RI
1989,Rhode.Island,30124,RI
1988,Rhode.Island,29842,RI
1987,Rhode.Island,28292,RI
1986,Rhode.Island,26540,RI
1985,Rhode.Island,24625,RI
1984,Rhode.Island,21612,RI
2015,South.Carolina,46360,SC
2014,South.Carolina,44929,SC
2013,South.Carolina,43563,SC
2012,South.Carolina,44401,SC
2011,South.Carolina,40084,SC
2010,South.Carolina,41698,SC
2009,South.Carolina,41101,SC
2008,South.Carolina,42155,SC
2007,South.Carolina,44213,SC
2006,South.Carolina,39617,SC
2005,South.Carolina,40230,SC
2004,South.Carolina,38691,SC
2003,South.Carolina,38479,SC
2002,South.Carolina,37812,SC
2001,South.Carolina,37736,SC
2000,South.Carolina,37570,SC
1999,South.Carolina,36462,SC
1998,South.Carolina,33267,SC
1997,South.Carolina,34262,SC
1996,South.Carolina,34665,SC
1995,South.Carolina,29071,SC
1994,South.Carolina,29846,SC
1993,South.Carolina,26053,SC
1992,South.Carolina,27578,SC
1991,South.Carolina,27463,SC
1990,South.Carolina,28735,SC
1989,South.Carolina,23798,SC
1988,South.Carolina,25533,SC
1987,South.Carolina,25049,SC
1986,South.Carolina,21968,SC
1985,South.Carolina,20036,SC
1984,South.Carolina,20309,SC
2015,South.Dakota,55065,SD
2014,South.Dakota,53053,SD
2013,South.Dakota,53413,SD
2012,South.Dakota,49415,SD
2011,South.Dakota,47223,SD
2010,South.Dakota,45352,SD
2009,South.Dakota,45826,SD
2008,South.Dakota,51600,SD
2007,South.Dakota,46418,SD
2006,South.Dakota,45427,SD
2005,South.Dakota,43151,SD
2004,South.Dakota,41107,SD
2003,South.Dakota,39522,SD
2002,South.Dakota,37873,SD
2001,South.Dakota,39671,SD
2000,South.Dakota,36475,SD
1999,South.Dakota,35828,SD
1998,South.Dakota,32786,SD
1997,South.Dakota,29694,SD
1996,South.Dakota,29526,SD
1995,South.Dakota,29578,SD
1994,South.Dakota,29733,SD
1993,South.Dakota,27737,SD
1992,South.Dakota,26259,SD
1991,South.Dakota,24639,SD
1990,South.Dakota,24571,SD
1989,South.Dakota,24108,SD
1988,South.Dakota,22294,SD
1987,South.Dakota,21151,SD
1986,South.Dakota,19898,SD
1985,South.Dakota,18142,SD
1984,South.Dakota,19409,SD
2015,Tennessee,47330,TN
2014,Tennessee,43716,TN
2013,Tennessee,43361,TN
2012,Tennessee,42995,TN
2011,Tennessee,42279,TN
2010,Tennessee,38591,TN
2009,Tennessee,40517,TN
2008,Tennessee,39702,TN
2007,Tennessee,41195,TN
2006,Tennessee,40693,TN
2005,Tennessee,39406,TN
2004,Tennessee,38072,TN
2003,Tennessee,37523,TN
2002,Tennessee,37030,TN
2001,Tennessee,35783,TN
2000,Tennessee,34096,TN
1999,Tennessee,36522,TN
1998,Tennessee,34091,TN
1997,Tennessee,30636,TN
1996,Tennessee,30790,TN
1995,Tennessee,29015,TN
1994,Tennessee,28639,TN
1993,Tennessee,25102,TN
1992,Tennessee,24318,TN
1991,Tennessee,24453,TN
1990,Tennessee,22592,TN
1989,Tennessee,22611,TN
1988,Tennessee,20856,TN
1987,Tennessee,21179,TN
1986,Tennessee,18256,TN
1985,Tennessee,17778,TN
1984,Tennessee,16782,TN
2015,Texas,56473,TX
2014,Texas,53875,TX
2013,Texas,51406,TX
2012,Texas,51926,TX
2011,Texas,49047,TX
2010,Texas,47266,TX
2009,Texas,47475,TX
2008,Texas,46490,TX
2007,Texas,46053,TX
2006,Texas,43307,TX
2005,Texas,41422,TX
2004,Texas,41397,TX
2003,Texas,39271,TX
2002,Texas,40149,TX
2001,Texas,40860,TX
2000,Texas,38609,TX
1999,Texas,38688,TX
1998,Texas,35783,TX
1997,Texas,35075,TX
1996,Texas,33072,TX
1995,Texas,32039,TX
1994,Texas,30755,TX
1993,Texas,28727,TX
1992,Texas,27953,TX
1991,Texas,27733,TX
1990,Texas,28228,TX
1989,Texas,25886,TX
1988,Texas,24963,TX
1987,Texas,24721,TX
1986,Texas,24162,TX
1985,Texas,23743,TX
1984,Texas,23024,TX
2015,Utah,66258,UT
2014,Utah,63383,UT
2013,Utah,61047,UT
2012,Utah,58341,UT
2011,Utah,55493,UT
2010,Utah,56701,UT
2009,Utah,58491,UT
2008,Utah,62537,UT
2007,Utah,53529,UT
2006,Utah,54628,UT
2005,Utah,54813,UT
2004,Utah,50871,UT
2003,Utah,49275,UT
2002,Utah,47861,UT
2001,Utah,47342,UT
2000,Utah,47550,UT
1999,Utah,46050,UT
1998,Utah,44299,UT
1997,Utah,42775,UT
1996,Utah,37038,UT
1995,Utah,36480,UT
1994,Utah,35716,UT
1993,Utah,35786,UT
1992,Utah,34251,UT
1991,Utah,28016,UT
1990,Utah,30142,UT
1989,Utah,30717,UT
1988,Utah,26313,UT
1987,Utah,26529,UT
1986,Utah,26281,UT
1985,Utah,25238,UT
1984,Utah,23057,UT
2015,Vermont,59494,VT
2014,Vermont,60708,VT
2013,Vermont,65513,VT
2012,Vermont,55582,VT
2011,Vermont,51862,VT
2010,Vermont,55928,VT
2009,Vermont,52318,VT
2008,Vermont,50706,VT
2007,Vermont,47390,VT
2006,Vermont,51981,VT
2005,Vermont,50704,VT
2004,Vermont,47329,VT
2003,Vermont,43261,VT
2002,Vermont,42999,VT
2001,Vermont,40794,VT
2000,Vermont,39594,VT
1999,Vermont,41584,VT
1998,Vermont,39372,VT
1997,Vermont,35053,VT
1996,Vermont,32358,VT
1995,Vermont,33824,VT
1994,Vermont,35802,VT
1993,Vermont,31065,VT
1992,Vermont,32755,VT
1991,Vermont,29155,VT
1990,Vermont,31098,VT
1989,Vermont,31295,VT
1988,Vermont,28988,VT
1987,Vermont,25415,VT
1986,Vermont,24599,VT
1985,Vermont,26000,VT
1984,Vermont,22578,VT
2015,Virginia,61486,VA
2014,Virginia,66155,VA
2013,Virginia,65907,VA
2012,Virginia,64632,VA
2011,Virginia,62616,VA
2010,Virginia,60367,VA
2009,Virginia,60501,VA
2008,Virginia,61985,VA
2007,Virginia,59161,VA
2006,Virginia,57119,VA
2005,Virginia,51914,VA
2004,Virginia,51141,VA
2003,Virginia,54783,VA
2002,Virginia,49631,VA
2001,Virginia,50241,VA
2000,Virginia,47163,VA
1999,Virginia,45693,VA
1998,Virginia,43354,VA
1997,Virginia,42957,VA
1996,Virginia,39211,VA
1995,Virginia,36222,VA
1994,Virginia,37647,VA
1993,Virginia,36433,VA
1992,Virginia,38198,VA
1991,Virginia,36137,VA
1990,Virginia,35073,VA
1989,Virginia,34118,VA
1988,Virginia,32648,VA
1987,Virginia,29996,VA
1986,Virginia,29715,VA
1985,Virginia,28429,VA
1984,Virginia,26525,VA
2015,Washington,67243,WA
2014,Washington,59068,WA
2013,Washington,63922,WA
2012,Washington,62187,WA
2011,Washington,56850,WA
2010,Washington,56163,WA
2009,Washington,60392,WA
2008,Washington,56631,WA
2007,Washington,58080,WA
2006,Washington,54723,WA
2005,Washington,50646,WA
2004,Washington,49922,WA
2003,Washington,47508,WA
2002,Washington,45183,WA
2001,Washington,42490,WA
2000,Washington,42525,WA
1999,Washington,45473,WA
1998,Washington,47421,WA
1997,Washington,44562,WA
1996,Washington,36676,WA
1995,Washington,35568,WA
1994,Washington,33533,WA
1993,Washington,35655,WA
1992,Washington,33900,WA
1991,Washington,33970,WA
1990,Washington,32112,WA
1989,Washington,31961,WA
1988,Washington,32327,WA
1987,Washington,27319,WA
1986,Washington,26881,WA
1985,Washington,24000,WA
1984,Washington,25017,WA
2015,West.Virginia,42824,WV
2014,West.Virginia,39552,WV
2013,West.Virginia,43069,WV
2012,West.Virginia,43553,WV
2011,West.Virginia,41821,WV
2010,West.Virginia,42777,WV
2009,West.Virginia,40490,WV
2008,West.Virginia,37994,WV
2007,West.Virginia,42091,WV
2006,West.Virginia,38419,WV
2005,West.Virginia,36445,WV
2004,West.Virginia,33373,WV
2003,West.Virginia,32763,WV
2002,West.Virginia,29359,WV
2001,West.Virginia,29673,WV
2000,West.Virginia,29411,WV
1999,West.Virginia,29297,WV
1998,West.Virginia,26704,WV
1997,West.Virginia,27488,WV
1996,West.Virginia,25247,WV
1995,West.Virginia,24880,WV
1994,West.Virginia,23564,WV
1993,West.Virginia,22421,WV
1992,West.Virginia,20271,WV
1991,West.Virginia,23147,WV
1990,West.Virginia,22137,WV
1989,West.Virginia,21677,WV
1988,West.Virginia,19353,WV
1987,West.Virginia,17207,WV
1986,West.Virginia,16464,WV
1985,West.Virginia,15983,WV
1984,West.Virginia,16843,WV
2015,Wisconsin,55425,WI
2014,Wisconsin,58080,WI
2013,Wisconsin,51726,WI
2012,Wisconsin,53079,WI
2011,Wisconsin,52058,WI
2010,Wisconsin,50351,WI
2009,Wisconsin,51237,WI
2008,Wisconsin,51200,WI
2007,Wisconsin,51277,WI
2006,Wisconsin,51692,WI
2005,Wisconsin,44650,WI
2004,Wisconsin,45732,WI
2003,Wisconsin,46269,WI
2002,Wisconsin,45903,WI
2001,Wisconsin,45346,WI
2000,Wisconsin,45088,WI
1999,Wisconsin,45667,WI
1998,Wisconsin,41327,WI
1997,Wisconsin,39595,WI
1996,Wisconsin,40001,WI
1995,Wisconsin,40955,WI
1994,Wisconsin,35388,WI
1993,Wisconsin,31766,WI
1992,Wisconsin,33308,WI
1991,Wisconsin,31133,WI
1990,Wisconsin,30711,WI
1989,Wisconsin,29123,WI
1988,Wisconsin,29575,WI
1987,Wisconsin,26369,WI
1986,Wisconsin,26430,WI
1985,Wisconsin,23246,WI
1984,Wisconsin,20743,WI
2015,Wyoming,60925,WY
2014,Wyoming,55690,WY
2013,Wyoming,67441,WY
2012,Wyoming,57512,WY
2011,Wyoming,54509,WY
2010,Wyoming,52201,WY
2009,Wyoming,52470,WY
2008,Wyoming,53337,WY
2007,Wyoming,48744,WY
2006,Wyoming,47041,WY
2005,Wyoming,44718,WY
2004,Wyoming,45397,WY
2003,Wyoming,42555,WY
2002,Wyoming,39763,WY
2001,Wyoming,39719,WY
2000,Wyoming,39629,WY
1999,Wyoming,37248,WY
1998,Wyoming,35250,WY
1997,Wyoming,33423,WY
1996,Wyoming,30953,WY
1995,Wyoming,31529,WY
1994,Wyoming,33140,WY
1993,Wyoming,29442,WY
1992,Wyoming,30209,WY
1991,Wyoming,29050,WY
1990,Wyoming,29460,WY
1989,Wyoming,29521,WY
1988,Wyoming,26419,WY
1987,Wyoming,27590,WY
1986,Wyoming,23559,WY
1985,Wyoming,22081,WY
1984,Wyoming,23816,WY
